timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-11-12,603000.SH,buy,26.2662,2600,signal,0.0,0,0.0
2024-11-15,603000.SH,sell,25.0949,2600,signal,-3045.536,3,-4.46
2025-02-11,603000.SH,buy,23.8738,2800,signal,0.0,0,0.0
2025-03-03,603000.SH,sell,22.977,2800,signal,-2511.18,20,-3.76
2025-07-14,603000.SH,buy,20.7908,3200,signal,0.0,0,0.0
2025-09-03,603000.SH,sell,21.3386,3200,signal,1753.184,51,2.64
2025-11-04,603000.SH,buy,20.3904,3300,signal,0.0,0,0.0
2025-11-21,603000.SH,sell,19.2607,3300,signal,-3727.845,17,-5.54
2025-11-26,603000.SH,buy,20.8208,3200,signal,0.0,0,0.0
2025-12-12,603000.SH,sell,19.2208,3200,signal,-5120.128,16,-7.68
2026-01-07,603000.SH,buy,19.8698,3300,signal,0.0,0,0.0
2026-01-19,603000.SH,sell,24.955,3300,signal,16781.061,12,25.59
