strategy,full_return,full_annual_return,full_max_drawdown,full_trades,full_final_value,early_return,early_max_drawdown,recent_return,recent_max_drawdown,recent_trades
price_ma_90_w0.10,0.005927747022400842,0.0006141135760375782,-0.23261211138282692,70,100592.77470224009,-0.011484411924300275,-0.197750039666169,0.014901326383101043,-0.0663018050841853,41
ma_stop_10_90_s0.15_w0.15,0.005688934212050745,0.0005894353804591912,-0.2671831979567984,51,100568.89342120507,0.09875637698615058,-0.20149353758771607,-0.08725021390779997,-0.12177474558729827,29
ma_stop_10_90_s0.10_w0.25,0.005259157517503166,0.0005450103208350932,-0.36595235084888345,72,100525.91575175032,0.13762773146550145,-0.27617856084397985,-0.1206651167569982,-0.17692028326413015,41
ma_5_90_w0.33,0.00367018038700051,0.0003806133673660561,-0.5490640629916403,35,100367.01803870004,0.06109722763625025,-0.4455021728263351,-0.052085897922099056,-0.24349623460175557,20
ma_stop_30_180_s0.10_w0.50,0.002881864586253391,0.00029896695450992716,-0.5941249128784026,56,100288.18645862534,0.2517393712275009,-0.4741618188178301,-0.18993688932984865,-0.4021433435941614,33
breakout_90_60_s0.15_w1.00,0.002408005665003543,0.000249861378515126,-0.7371686747381055,13,100240.80056650034,1.6794341949937506,-0.3014300937264606,-0.620691984150749,-0.6212737384580925,11
ma_stop_30_90_s0.15_w0.67,0.002345837276253926,0.00024341738049971084,-0.7465130946775456,45,100234.5837276254,0.03918312786375222,-0.6395627590977613,-0.03579232921874764,-0.36951314056660217,25
ma_10_60_w0.50,0.0022544265604513836,0.00023394164975565346,-0.5813567654109288,33,100225.44265604514,0.07178144161510058,-0.4492559519396851,-0.07044170948309914,-0.32734398948805193,17
ma_30_60_w0.25,-0.00032547190659926173,-3.3813225017054194e-05,-0.4381407018084379,23,99967.45280934007,0.20437359448490056,-0.3346179587491332,-0.17257739927019966,-0.2644306457641637,13
ma_stop_20_120_s0.20_w0.50,-0.0007670714037963933,-7.970670367529742e-05,-0.6222923731091015,35,99923.29285962036,0.08106792150605169,-0.5227770892772478,-0.06920407656464866,-0.3913493576273737,18
price_ma_90_w0.20,-0.0015183253620978387,-0.00015782297535349432,-0.39334022870230834,70,99848.16746379022,-0.04121134973099849,-0.33565632518673494,0.043408789548900595,-0.13323048159275502,41
ma_40_250_w0.15,-0.0023268138650001102,-0.00024194942540423092,-0.21470465071757755,5,99767.31861349999,-0.00840212563999998,-0.12987639809563362,0.006075311775000092,-0.2132862103786017,3
ma_stop_10_90_s0.12_w0.33,-0.0028954017094461326,-0.00030114985401463734,-0.4728176062870265,60,99710.45982905538,0.12209962721485157,-0.36830978721483654,-0.10919079564019818,-0.23400964492530751,34
ma_10_90_w0.10,-0.0033913505568999858,-0.0003528119367072202,-0.22542927562939064,26,99660.86494431,0.026559385784999945,-0.18414486411459036,-0.04178236162159987,-0.07940581592130823,13
ma_30_40_w0.10,-0.004088892099199715,-0.00042551256336442744,-0.2039614791108795,37,99591.11079008003,0.08402464885869998,-0.13545006295837303,-0.07607197510620023,-0.10405905179189945,22
ma_30_180_w0.10,-0.004569482449900075,-0.00047562820542401685,-0.21986948939923537,11,99543.05175500999,0.023986972216400115,-0.18060034320720567,-0.02855645466630008,-0.13443253624129398,6
ma_stop_10_90_s0.05_w0.20,-0.00558517964919758,-0.0005816158088186585,-0.29036507077090373,133,99441.48203508025,0.14369982104600076,-0.18697307877427638,-0.12597833875149722,-0.16039950544556966,78
ma_40_250_w0.10,-0.006026734403400069,-0.000627722130505326,-0.14436806930786183,5,99397.32655966,-0.005668083760000053,-0.08994212432847298,-0.00035865064340001584,-0.14366450336282516,3
ma_stop_20_90_s0.05_w0.50,-0.006059726775339946,-0.0006311678691809375,-0.5421664524621854,126,99394.027322466,0.2679907112659048,-0.4132771957858477,-0.2077630851202953,-0.39057728430124933,76
price_ma_90_w0.15,-0.006678238397198388,-0.0006957844900511434,-0.32386187430685187,70,99332.17616028016,-0.03349359236739957,-0.27718805460618606,0.03368292866860134,-0.10396664442279537,41
ma_stop_10_90_s0.08_w0.20,-0.008706724445497804,-0.0009079560890445926,-0.3191952617678705,90,99129.32755545022,0.1174042516112006,-0.22816451226905823,-0.11144393700199962,-0.16225892793544147,55
ma_40_250_w0.20,-0.008911305014399962,-0.0009293759984285721,-0.2650202033366869,5,99108.86949856,-0.014957291467699974,-0.1669362092283495,0.006045986453300012,-0.26209120370357925,3
ma_20_60_w0.20,-0.008952089074598879,-0.0009336466277573008,-0.370416392389061,25,99104.79109254011,0.13224960515120077,-0.2818332192348407,-0.1251546649485995,-0.21361363060390207,13
ma_stop_10_250_s0.20_w1.00,-0.009273760323741165,-0.0009673353733764545,-0.7689214898141936,29,99072.62396762588,0.8993689685662538,-0.4811150746719213,-0.4811699439787478,-0.768465879772845,17
ma_40_250_w0.25,-0.011674672216099857,-0.0012190938059813972,-0.3091600706020152,5,98832.53277839001,-0.017691333347700122,-0.20142113114387847,0.007544907167899906,-0.31721898729098164,3
ma_30_90_w0.67,-0.012468470118898733,-0.001302451624290768,-0.7683788139940084,19,98753.15298811013,-0.08542626007499932,-0.6758190629462782,0.07615042168500019,-0.38192014080249503,10
ma_30_40_w0.15,-0.01273776627809986,-0.0013307444280261649,-0.2821368307636336,37,98726.22337219001,0.1178838667386004,-0.19006706078106467,-0.11950576010499969,-0.16267128410910128,22
ma_stop_40_180_s0.05_w0.33,-0.01278571407124518,-0.001335782646246897,-0.39655247144153466,112,98721.42859287548,0.22095617942415058,-0.3032194421319918,-0.18874056531929617,-0.33845511520754823,70
ma_stop_20_90_s0.10_w0.50,-0.012796733927094905,-0.0013369406124598138,-0.5777608745653053,68,98720.32660729051,0.2519224905016526,-0.4581657139787329,-0.20212324657284864,-0.4176482500812945,39
ma_stop_30_120_s0.10_w1.00,-0.014384241348741167,-0.001503877009269683,-0.8109021292785769,59,98561.57586512588,0.5075159137425029,-0.6225831536068809,-0.3424666029524963,-0.5257235294007689,37
ma_stop_20_180_s0.20_w1.00,-0.015281311792493035,-0.0015983161902112242,-0.7760844559345581,28,98471.8688207507,0.07001156287125343,-0.7263303137988986,-0.08503158455999704,-0.7044375010679402,15
ma_stop_20_90_s0.20_w0.50,-0.01717708037474719,-0.00179814730429817,-0.6042901603443557,37,98282.29196252528,0.16909181650685157,-0.4929809451732566,-0.15328442582299884,-0.4111451398374569,19
breakout_40_20_s0.20_w0.50,-0.017512136459998162,-0.00183350115289449,-0.5679524105111718,19,98248.78635400019,0.5291208799987508,-0.32994724031755224,-0.3566195556008993,-0.3594303694849708,13
ma_stop_40_250_s0.05_w0.50,-0.018076748481742677,-0.0018931013249641193,-0.45799578452586515,105,98192.32515182573,0.07221618948075248,-0.3441216188905279,-0.080809211778746,-0.4556538858062797,59
ma_stop_30_180_s0.05_w0.25,-0.018274682061895753,-0.001914002368315848,-0.36418200800975264,114,98172.53179381043,0.16956006892090203,-0.25536553621533165,-0.1621389389681981,-0.2675916706812787,71
ma_stop_10_90_s0.20_w0.25,-0.019351547928948443,-0.0020277815673633848,-0.3967556219729501,37,98064.84520710516,0.11259203118425098,-0.31132974588489054,-0.12210114426719898,-0.2061747107748019,20
