strategy,2021_return,2021_max_drawdown,2021_trades,2022_return,2022_max_drawdown,2022_trades,2023_return,2023_max_drawdown,2023_trades,2024_return,2024_max_drawdown,2024_trades,2025_return,2025_max_drawdown,2025_trades,min_year_return,worst_year_drawdown,pass_year_count
ma_stop_40_60_s0.08_w0.33,-0.05585788431369976,-0.12515543308772845,7,-0.06504285633259965,-0.11953034165107125,9,0.2469690965511504,-0.11469061626529752,22,-0.038065886275699845,-0.07135553818302613,6,-0.06562367636089972,-0.07781153054379777,7,-0.06562367636089972,-0.12515543308772845,1
ma_stop_40_120_s0.12_w0.50,-0.06678371523719984,-0.13492305514603706,5,-0.010010019565849904,-0.1638812642278115,6,0.412832112249101,-0.1563658766478465,11,-0.017905697981249857,-0.11967661104074064,2,-0.043612102754999826,-0.12218091113585268,4,-0.06678371523719984,-0.1638812642278115,1
ma_stop_20_120_s0.12_w0.50,-0.06370178049974962,-0.09130142074099945,5,-0.07683279928105013,-0.19168146540307657,7,0.3036697214116011,-0.1984402892824855,11,-0.006893321606249669,-0.11850680626655336,2,-0.06613467178499977,-0.09441227332357925,4,-0.07683279928105013,-0.1984402892824855,1
ma_stop_40_60_s0.12_w0.33,-0.050872777612899545,-0.12128416265924927,7,-0.031824669403199946,-0.11227129177068321,6,0.27114096427890044,-0.10459880160427712,11,-0.06496623500889998,-0.08285556051209378,4,-0.07922594021309981,-0.08474890549209987,7,-0.07922594021309981,-0.12128416265924927,1
ma_40_60_w0.33,-0.0531964543379998,-0.1235190802442057,4,-0.020076107425499923,-0.10427180307128614,3,0.23094008990070014,-0.13847808818542445,1,-0.04588727353419997,-0.07768208667476814,2,-0.08401413842790006,-0.08953710370690009,5,-0.08401413842790006,-0.13847808818542445,1
ma_stop_10_120_s0.08_w0.50,-0.0893024078821496,-0.11470525656303572,5,0.042713816990450404,-0.15984637361990042,8,0.35838344944295164,-0.1687413125027225,22,-0.04858767905100003,-0.10553109932332262,5,-0.04759455021749981,-0.08709896541230558,5,-0.0893024078821496,-0.1687413125027225,1
price_ma_120_w0.50,-0.0937471158927996,-0.116185287051344,5,-0.013952333306299747,-0.16914635835313074,9,0.31580320677749985,-0.1863350085850481,4,-0.08344642475624975,-0.1113100325199999,3,-0.039662746694999806,-0.110565766430256,6,-0.0937471158927996,-0.1863350085850481,1
breakout_120_10_s0.08_w1.00,0.0,0.0,0,-0.17799162585749972,-0.2905400746595313,2,0.2304866491200006,-0.17245023435879858,3,-0.027352353307499966,-0.09127074272304783,1,0.0,0.0,0,-0.17799162585749972,-0.2905400746595313,1
breakout_120_20_s0.08_w1.00,0.0,0.0,0,-0.17799162585749972,-0.2905400746595313,2,0.2304866491200006,-0.17245023435879858,3,-0.027352353307499966,-0.09127074272304783,1,0.0,0.0,0,-0.17799162585749972,-0.2905400746595313,1
breakout_120_60_s0.08_w1.00,0.0,0.0,0,-0.17799162585749972,-0.2905400746595313,2,0.2304866491200006,-0.17245023435879858,3,-0.027352353307499966,-0.09127074272304783,1,0.0,0.0,0,-0.17799162585749972,-0.2905400746595313,1
