date,equity
2023-08-14,1.1960879835016094
2023-08-15,1.209992325575673
2023-08-16,1.1972695074548632
2023-08-17,1.1936350879514488
2023-08-18,1.1674554399862809
2023-08-21,1.164076858016182
2023-08-22,1.2037740430451795
2023-08-23,1.182503859236512
2023-08-24,1.213726222459491
2023-08-25,1.1697723779008444
2023-08-28,1.1887678098809495
2023-08-29,1.2034069263921425
2023-08-30,1.2080294601078898
2023-08-31,1.2063818845486467
2023-09-01,1.1956098260201025
2023-09-04,1.1958974568935234
2023-09-05,1.182949061274446
2023-09-06,1.1815181975982068
2023-09-07,1.1602129705314275
2023-09-08,1.1631537010931992
2023-09-11,1.1651657141261773
2023-09-12,1.1645601166102035
2023-09-13,1.1567285915309542
2023-09-14,1.1639004291665196
2023-09-15,1.163153674746451
2023-09-18,1.1460287299325527
2023-09-19,1.1525673122324351
2023-09-20,1.1532883226462574
2023-09-21,1.1439463601034805
2023-09-22,1.134832617974103
2023-09-25,1.1278442767084014
2023-09-26,1.121301593261582
2023-09-27,1.1168285857676619
2023-09-28,1.10912989870134
2023-10-09,1.108983067971143
2023-10-10,1.1047343205092675
2023-10-11,1.1031611927155303
2023-10-12,1.1077423176847063
2023-10-13,1.1120953731408645
2023-10-16,1.1141507094301857
2023-10-17,1.1289949589463308
2023-10-18,1.1278670124883203
2023-10-19,1.1127201031952334
2023-10-20,1.1086717340855887
2023-10-23,1.1015136938147885
2023-10-24,1.097123825316811
2023-10-25,1.071723082963266
2023-10-26,1.0833983279756758
2023-10-27,1.0830058045560864
2023-10-30,1.0807640822391085
2023-10-31,1.083369204742633
2023-11-01,1.083535734960672
2023-11-02,1.085917604518519
2023-11-03,1.084967886218549
2023-11-06,1.076516594015457
2023-11-07,1.075334813631712
2023-11-08,1.0740956272002387
2023-11-09,1.0719885722191382
2023-11-10,1.0743481557094152
2023-11-13,1.0736009633800816
2023-11-14,1.073797231789895
2023-11-15,1.0823634419014159
2023-11-16,1.0816093745255966
2023-11-17,1.0817999361165163
2023-11-20,1.0753308673402493
2023-11-21,1.079678262999065
2023-11-22,1.0764446142720308
2023-11-23,1.0775415993534239
2023-11-24,1.0790803505453144
2023-11-27,1.0794912252224467
2023-11-28,1.0798887063549585
2023-11-29,1.0807164600657924
2023-11-30,1.0846391375461615
2023-12-01,1.0836924178621863
2023-12-04,1.0884031661798832
2023-12-05,1.0779101798033692
2023-12-06,1.0827379147029275
2023-12-07,1.0789676395427044
2023-12-08,1.085752208483521
2023-12-11,1.0902438452189853
2023-12-12,1.0957551402573211
2023-12-13,1.0998672750963823
2023-12-14,1.1102629714729824
2023-12-15,1.103250001428913
2023-12-18,1.1092180274191414
2023-12-19,1.1127729549392513
2023-12-20,1.1197003724511778
2023-12-21,1.1106223889785796
2023-12-22,1.1152705709314132
2023-12-25,1.1190935816593859
2023-12-26,1.1241613719370869
2023-12-27,1.1263981281043216
2023-12-28,1.1223086678618888
2023-12-29,1.1211473885413437
2024-01-02,1.1263220483026548
2024-01-03,1.1205681250105877
2024-01-04,1.1178536922316227
2024-01-05,1.1145766667888721
2024-01-08,1.1131601256018602
2024-01-09,1.1242175126174396
2024-01-10,1.1205669789256638
2024-01-11,1.1241525601690454
2024-01-12,1.127175018048982
2024-01-15,1.1316977328494164
2024-01-16,1.1283811741738592
2024-01-17,1.1214461809233707
2024-01-18,1.1224624555556824
2024-01-19,1.1318880457475635
2024-01-22,1.1377870281058389
2024-01-23,1.1420662251170794
2024-01-24,1.1582122686023866
2024-01-25,1.1520822626914622
2024-01-26,1.1559565516659853
2024-01-29,1.1673067379259192
2024-01-30,1.1710279655206286
2024-01-31,1.1671733578850203
2024-02-01,1.1602955905558645
2024-02-02,1.1725421308428163
2024-02-05,1.1857998368151426
2024-02-06,1.1829094407715706
2024-02-07,1.18678385576667
2024-02-08,1.1966194126082705
2024-02-19,1.2033143541573945
2024-02-20,1.2132059965818618
2024-02-21,1.2044006706364798
2024-02-22,1.2200462402398293
2024-02-23,1.2069227342210227
2024-02-26,1.1889885431660505
2024-02-27,1.2255251834867578
2024-02-28,1.2061588989495038
2024-02-29,1.2175550691168464
2024-03-01,1.2494953960548523
2024-03-04,1.289985910621353
2024-03-05,1.305044584802045
2024-03-06,1.2921477987088281
2024-03-07,1.3070064048362628
2024-03-08,1.3446893120007324
2024-03-11,1.3520406710477284
2024-03-12,1.3186892190209532
2024-03-13,1.312273548815234
2024-03-14,1.292022678584425
2024-03-15,1.286302705821676
2024-03-18,1.32363786459592
2024-03-19,1.3237973945352235
2024-03-20,1.32133865457451
2024-03-21,1.318999542164277
2024-03-22,1.320387665562743
2024-03-25,1.309654666974556
2024-03-26,1.3199107325270252
2024-03-27,1.302177338301229
2024-03-28,1.3275256589704107
2024-03-29,1.316345823465943
2024-04-01,1.3464486291950863
2024-04-02,1.3425707642934193
2024-04-03,1.3199046786029751
2024-04-08,1.3168035820275488
2024-04-09,1.317037083938115
2024-04-10,1.3015011210139096
2024-04-11,1.3006630467873213
2024-04-12,1.3175957834425234
2024-04-15,1.337291171838123
2024-04-16,1.340356962841496
2024-04-17,1.3508641412245388
2024-04-18,1.362130235729545
2024-04-19,1.3428277480281718
2024-04-22,1.3173922796538333
2024-04-23,1.296695831276072
2024-04-24,1.3231957388901305
2024-04-25,1.3304520276444383
2024-04-26,1.3760308869866693
2024-04-29,1.3976814121604713
2024-04-30,1.393443929368261
2024-05-06,1.4261395709402196
2024-05-07,1.4328472924570568
2024-05-08,1.4098217165449283
2024-05-09,1.427707938201477
2024-05-10,1.4207883595076543
2024-05-13,1.4222888151310216
2024-05-14,1.4105085251525056
2024-05-15,1.4084003030863694
2024-05-16,1.4341824239362242
2024-05-17,1.4384761528248822
2024-05-20,1.4412928860791583
2024-05-21,1.4230066052595174
2024-05-22,1.4184697314137464
2024-05-23,1.4070977240789047
2024-05-24,1.3718443791548205
2024-05-27,1.3870386957552225
2024-05-28,1.3723191368131031
2024-05-29,1.3727784460185704
2024-05-30,1.3606824221491716
2024-05-31,1.3453074711720439
2024-06-03,1.3675692020675592
2024-06-04,1.3770540174814119
2024-06-05,1.3700044161880893
2024-06-06,1.3773648804801752
2024-06-07,1.3607601232083042
2024-06-11,1.3393477657337112
2024-06-12,1.3340694118463643
2024-06-13,1.3390394807032864
2024-06-14,1.3456132945968255
2024-06-17,1.3485906918683097
2024-06-18,1.367154598057803
2024-06-19,1.3691415491519827
2024-06-20,1.3798841675117783
2024-06-21,1.368265158911253
2024-06-24,1.3591275543679049
2024-06-25,1.3412754501751467
2024-06-26,1.3593234241685925
2024-06-27,1.3501219571972736
2024-06-28,1.3673458722709817
2024-07-01,1.3802933432940074
2024-07-02,1.3733419435699532
2024-07-03,1.3826630384708698
2024-07-04,1.380604474855735
2024-07-05,1.3845139069570729
2024-07-08,1.3963118971542867
2024-07-09,1.430350819649573
2024-07-10,1.4207250347676355
2024-07-11,1.4244618064806382
2024-07-12,1.3824727314291925
2024-07-15,1.404672632896319
2024-07-16,1.4154647378187337
2024-07-17,1.3971428765538132
2024-07-18,1.3856053964308168
2024-07-19,1.3713859153552348
2024-07-22,1.3640835476504922
2024-07-23,1.358865374425569
2024-07-24,1.35003572607834
2024-07-25,1.325127602964743
2024-07-26,1.3061996973710996
2024-07-29,1.322704628786031
2024-07-30,1.319449517268266
2024-07-31,1.308635337237489
2024-08-01,1.3229875328062546
2024-08-02,1.2897452352171395
2024-08-05,1.2254570542590348
2024-08-06,1.2368632130709913
2024-08-07,1.2380662514946374
2024-08-08,1.232869896242328
2024-08-09,1.2293933610921814
2024-08-12,1.2232341734275174
2024-08-13,1.2253234865662237
2024-08-14,1.2293060499606683
2024-08-15,1.2320619724486506
2024-08-16,1.234184386964196
2024-08-19,1.230424801508272
2024-08-20,1.234082512691132
2024-08-21,1.2330432540881184
2024-08-22,1.2424636254337815
2024-08-23,1.2339460124664332
2024-08-26,1.2377575586284892
2024-08-27,1.2335115116704036
2024-08-28,1.2363463050724444
2024-08-29,1.220907823595496
2024-08-30,1.2169725237569131
2024-09-02,1.2158554493285403
2024-09-03,1.2109749938453203
2024-09-04,1.1961264636697522
2024-09-05,1.1962531815665571
2024-09-06,1.1954099802226799
2024-09-09,1.1937879521259862
2024-09-10,1.1924034627950093
2024-09-11,1.181240123269367
2024-09-12,1.1858103854282223
2024-09-13,1.1828893263353069
2024-09-18,1.1872251635983047
2024-09-19,1.1911317038703646
2024-09-20,1.1933807792478455
2024-09-23,1.2007592431579102
2024-09-24,1.2128273023390537
2024-09-25,1.22611303693019
2024-09-26,1.252247322519951
2024-09-27,1.257302455018425
2024-09-30,1.2849780833763855
2024-10-08,1.5055357042101682
2024-10-09,1.3530497309301321
2024-10-10,1.3054781842647165
2024-10-11,1.2443065948593537
2024-10-14,1.2725258401092965
2024-10-15,1.2303464490839333
2024-10-16,1.2087783012948834
2024-10-17,1.2042314719223624
2024-10-18,1.3118741076436702
2024-10-21,1.3132825245583528
2024-10-22,1.3024213998625918
2024-10-23,1.2924290185010954
2024-10-24,1.2874212229817141
2024-10-25,1.3143825933131013
2024-10-28,1.3088454349917957
2024-10-29,1.292983429087925
2024-10-30,1.2774374655108693
2024-10-31,1.2988713393940958
2024-11-01,1.267598429631113
2024-11-04,1.2982549859745416
2024-11-05,1.3604647037982434
2024-11-06,1.3600023168694078
2024-11-07,1.4216207886287138
2024-11-08,1.3991348189763408
2024-11-11,1.450749392507579
2024-11-12,1.4329592615584381
2024-11-13,1.4465630603032917
2024-11-14,1.4058941148466153
2024-11-15,1.3516676711002922
2024-11-18,1.3296575215044784
2024-11-19,1.3702586485253994
2024-11-20,1.3683404762548042
2024-11-21,1.3760796929140726
2024-11-22,1.3213229618012878
2024-11-25,1.3254218532765614
2024-11-26,1.3020310533450605
2024-11-27,1.3317435119187702
2024-11-28,1.3146368688513923
2024-11-29,1.3438612417227778
2024-12-02,1.355922722762596
2024-12-03,1.345022262905086
2024-12-04,1.3351280690454743
2024-12-05,1.3405870638017672
2024-12-06,1.3610532262776491
2024-12-09,1.344419144525626
2024-12-10,1.3563096866337467
2024-12-11,1.3483259798740133
2024-12-12,1.3651913276128784
2024-12-13,1.334419174728421
2024-12-16,1.3185585524375867
2024-12-17,1.3226010802686448
2024-12-18,1.332339889204522
2024-12-19,1.3411914047147977
2024-12-20,1.35041130275311
2024-12-23,1.3382479658058104
2024-12-24,1.3575173716385003
2024-12-25,1.3548100597289878
2024-12-26,1.3659458646636884
2024-12-27,1.3621652919086817
2024-12-30,1.3672435672111927
2024-12-31,1.3408210674115901
2025-01-02,1.3202141104352108
2025-01-03,1.3042451336852054
2025-01-06,1.3134909255224705
2025-01-07,1.3329612517516434
2025-01-08,1.3307568251314348
2025-01-09,1.3317810315766698
2025-01-10,1.3292513292169104
2025-01-13,1.3155925179422618
2025-01-14,1.3330266299612978
2025-01-15,1.3286932453828195
2025-01-16,1.3345966718703348
2025-01-17,1.3418405454743179
2025-01-20,1.346201943890477
2025-01-21,1.3520731195776112
2025-01-22,1.354421989150251
2025-01-23,1.3476627664528666
2025-01-24,1.3473846309224031
2025-01-27,1.3461987762866665
2025-02-05,1.3514163933232541
2025-02-06,1.358073181061257
2025-02-07,1.3625505978582446
2025-02-10,1.370453050931598
2025-02-11,1.3717084632641576
2025-02-12,1.375470578680695
2025-02-13,1.380661474037158
2025-02-14,1.3928070604490834
2025-02-17,1.3914762969897174
2025-02-18,1.396138894406035
2025-02-19,1.3992530603806024
2025-02-20,1.390178259462377
2025-02-21,1.4137180333783554
2025-02-24,1.4133787795518007
2025-02-25,1.3991696685267148
2025-02-26,1.4153686117442057
2025-02-27,1.4117619976819569
2025-02-28,1.3635162631863613
2025-03-03,1.3558937032748601
2025-03-04,1.3740915589191698
2025-03-05,1.384905896226469
2025-03-06,1.4170197998820129
2025-03-07,1.4063768220833848
2025-03-10,1.401202685500594
2025-03-11,1.3920252718222044
2025-03-12,1.3882452779854457
2025-03-13,1.3717577030692185
2025-03-14,1.3989792662847398
2025-03-17,1.397506108263836
2025-03-18,1.410963369302175
2025-03-19,1.4067844315338476
2025-03-20,1.3947798139852425
2025-03-21,1.3658496687633015
2025-03-24,1.3697087544669255
2025-03-25,1.3571742859941012
2025-03-26,1.3583764360129
2025-03-27,1.3622912232839322
2025-03-28,1.3633302343555211
2025-03-31,1.3642155638111506
2025-04-01,1.35382896761035
2025-04-02,1.354454360479977
2025-04-03,1.3367392677238337
2025-04-07,1.2314566674068415
2025-04-08,1.2391797746319546
2025-04-09,1.2413048447002726
2025-04-10,1.271823497690178
2025-04-11,1.2780211257455134
2025-04-14,1.2802112933508307
2025-04-15,1.281687508218836
2025-04-16,1.292738890370565
2025-04-17,1.2934372704327195
2025-04-18,1.2965750483087644
2025-04-21,1.2974755968961633
2025-04-22,1.311587577869228
2025-04-23,1.2921145893543176
2025-04-24,1.2941491891090855
2025-04-25,1.295926591505595
2025-04-28,1.2981595228924223
2025-04-29,1.2995333570493672
2025-04-30,1.2916790729005005
2025-05-06,1.308347488090274
2025-05-07,1.3145356545908922
2025-05-08,1.3054330876562603
2025-05-09,1.2992631171938342
2025-05-12,1.297115454058523
2025-05-13,1.2911480729026668
2025-05-14,1.3000033687917858
2025-05-15,1.2833508682466381
2025-05-16,1.2859840401928484
2025-05-19,1.2929062915154435
2025-05-20,1.3051002406470524
2025-05-21,1.3182222143656197
2025-05-22,1.320350224240307
2025-05-23,1.3116860241478956
2025-05-26,1.3028039798590438
2025-05-27,1.3016023501899432
2025-05-28,1.3054382797159814
2025-05-29,1.2984106434593303
2025-05-30,1.3061806747385045
2025-06-03,1.2998353918021914
2025-06-04,1.2952229078594877
2025-06-05,1.2938622112532947
